year,month,day,stop_was_initiated,issuing_officer_rank,observed_duration_minutes,suspected_crime_description,stop_duration_minutes,officer_explained_stop_flag,suspect_arrested_flag,summons_issued_flag,officer_in_uniform_flag,frisked_flag,searched_flag,weapon_found_flag,suspect_reported_age,suspect_sex,suspect_race_description,suspect_height,suspect_weight,suspect_body_build_type,suspect_eye_color,suspect_hair_color,stop_location_x,stop_location_y,stop_location_boro_name,seconds
2020,January,Wednesday,Based on Radio Run,POM,1,ROBBERY,33,Y,N,0,Y,N,N,N,0.0,MALE,BLACK,55.0,135.0,THN,BRO,BLK,989085,205728,MANHATTAN,61500.00000000001
2020,January,Saturday,Based on Radio Run,POM,1,ROBBERY,5,Y,Y,0,N,Y,N,N,29.0,MALE,BLACK,58.0,180.0,MED,BRO,BLK,998281,225348,MANHATTAN,47640.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,N,0,Y,Y,N,N,19.0,MALE,WHITE HISPANIC,59.0,150.0,THN,BRO,BLK,1011334,257050,BRONX,63240.00000000001
2020,January,Friday,Based on Radio Run,POF,1,LARCENY,13,Y,N,0,Y,N,N,N,14.0,MALE,BLACK,51.0,170.0,MED,BRO,BLK,1034897,152596,QUEENS,66480.0
2020,January,Thursday,Based on Self Initiated,POM,3,Other,3,Y,N,0,N,Y,N,N,22.0,MALE,BLACK,54.0,130.0,THN,BRO,BLK,1009511,215129,QUEENS,82500.0
2020,January,Friday,Based on Self Initiated,POM,5,Other,5,Y,Y,0,Y,N,Y,Y,26.0,MALE,BLACK,511.0,180.0,MED,BRO,BLK,963882,173882,STATEN ISL & Other,70200.0
2020,January,Wednesday,Based on Radio Run,POM,1,ASSAULT,11,Y,N,0,Y,Y,N,N,37.0,MALE,BLACK HISPANIC,57.0,215.0,Other,BRO,Other,990741,204332,MANHATTAN,11400.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,7,Y,Y,0,Y,Y,N,N,24.0,MALE,BLACK,62.0,180.0,MED,BRO,BLK,987622,203561,MANHATTAN,14280.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,7,Y,Y,0,Y,Y,N,N,22.0,MALE,BLACK,57.0,130.0,THN,BRO,BLK,987622,203561,MANHATTAN,14280.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,Y,0,Y,Y,Y,Y,18.0,MALE,BLACK,63.0,180.0,THN,BRO,BLK,997261,232213,MANHATTAN,3420.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,0,Y,N,N,N,0.0,MALE,WHITE HISPANIC,6.0,180.0,THN,BLK,BLK,1006209,253743,MANHATTAN,78000.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,0,Y,N,N,N,20.0,MALE,WHITE HISPANIC,58.0,150.0,MED,BRO,BLK,1006209,253743,MANHATTAN,78000.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,0,Y,N,N,N,20.0,MALE,WHITE HISPANIC,51.0,150.0,MED,BRO,BLK,1006209,253743,MANHATTAN,78000.0
2020,January,Saturday,Based on Radio Run,POM,1,BURGLARY,3,Y,Y,0,N,Y,Y,Y,53.0,MALE,WHITE HISPANIC,58.0,150.0,THN,BRO,BLK,1010994,237774,BRONX,57300.0
