SUSPECT_ARRESTED_FLAG,YEAR,OBSERVED_DURATION_MINUTES,DAY,MONTH,SUSPECT_WEIGHT,SUSPECT_HEIGHT,SUSPECT_REPORTED_AGE,STOP_DURATION_MINUTES,STOP_LOCATION_X,STOP_LOCATION_Y,SUMMONS_ISSUED_FLAG,SECONDS
N,2020,1,Thursday,January,150.0,51.0,18.0,2,1001591,232724,0,0.0
N,2020,1,Wednesday,January,185.0,51.0,32.0,4,998723,241497,0,14160.0
Y,2020,1,Wednesday,January,220.0,53.0,18.0,1,1006920,241129,0,81360.0
Y,2020,1,Thursday,January,190.0,6.0,33.0,4,1007836,178613,0,34680.0
Y,2020,1,Tuesday,January,200.0,6.0,33.0,5,1038115,192802,0,25380.0
N,2020,1,Sunday,January,190.0,6.0,20.0,2,1028669,183790,1,3060.0
N,2020,1,Wednesday,January,160.0,57.0,22.0,17,1048478,187625,0,5400.0
N,2020,1,Wednesday,January,175.0,62.0,40.0,2,1006235,215073,0,59100.00000000001
Y,2020,1,Saturday,January,160.0,51.0,42.0,5,962748,174173,0,75300.0
Y,2020,15,Tuesday,January,150.0,511.0,16.0,5,988084,214323,0,78600.0
Y,2020,15,Tuesday,January,150.0,56.0,16.0,5,988084,214323,0,78600.0
Y,2020,15,Tuesday,January,135.0,58.0,22.0,5,988084,214323,0,78600.0
Y,2020,0,Thursday,January,140.0,59.0,20.0,30,1007591,247724,0,52980.0
N,2020,2,Thursday,January,140.0,51.0,28.0,45,1010664,258616,0,63600.00000000001
N,2020,2,Thursday,January,130.0,61.0,17.0,45,1010664,258616,0,63600.00000000001
Y,2020,1,Thursday,January,180.0,51.0,34.0,27,1016845,182111,0,10200.0
N,2020,1,Wednesday,January,125.0,57.0,39.0,1,997466,192219,0,69600.0
N,2020,1,Thursday,January,230.0,6.0,19.0,15,1038000,196438,0,60900.00000000001
N,2020,1,Thursday,January,150.0,59.0,18.0,15,1038000,196438,0,60900.00000000001
N,2020,1,Tuesday,January,180.0,6.0,37.0,45,1036564,186167,0,14640.000000000002
N,2020,1,Tuesday,January,190.0,6.0,31.0,45,1036564,186167,0,14640.000000000002
Y,2020,1,Tuesday,January,185.0,61.0,28.0,2,1045984,185713,0,41640.0
N,2020,1,Wednesday,January,175.0,59.0,20.0,15,1048290,187569,0,5700.0
Y,2020,1,Tuesday,January,190.0,511.0,32.0,5,1017145,182185,0,54600.0
Y,2020,1,Tuesday,January,200.0,59.0,21.0,5,1025436,258427,0,66000.0
N,2020,1,Thursday,January,160.0,56.0,24.0,12,1025255,258770,0,72660.0
N,2020,1,Thursday,January,180.0,58.0,35.0,5,1011779,246746,0,56580.0
N,2020,5,Thursday,January,175.0,6.0,32.0,5,1035019,204048,0,42000.0
Y,2020,1,Wednesday,January,150.0,54.0,13.0,7,954527,148134,0,54300.0
Y,2020,1,Wednesday,January,90.0,5.0,13.0,7,954527,148134,0,54300.0
Y,2020,1,Wednesday,January,147.0,54.0,12.0,7,954527,148134,0,54300.0
Y,2020,1,Wednesday,January,100.0,5.0,13.0,7,954527,148134,0,54300.0
Y,2020,1,Wednesday,January,95.0,54.0,14.0,7,954527,148134,0,54300.0
Y,2020,1,Wednesday,January,110.0,52.0,14.0,7,954527,148134,0,54300.0
N,2020,1,Saturday,January,160.0,59.0,20.0,5,927483,126598,0,43200.0
N,2020,0,Friday,January,140.0,511.0,25.0,2,997615,222681,0,72540.0
N,2020,2,Thursday,January,150.0,55.0,0.0,2,1015766,246349,1,63600.00000000001
N,2020,0,Friday,January,185.0,58.0,37.0,34,985814,190749,0,76860.0
Y,2020,1,Friday,January,145.0,41.0,45.0,2,998303,193095,0,67500.0
Y,2020,1,Tuesday,January,160.0,511.0,14.0,30,1050880,156629,0,79080.0
Y,2020,1,Tuesday,January,170.0,511.0,17.0,30,1050880,156629,0,79080.0
N,2020,2,Friday,January,250.0,6.0,44.0,30,1008771,210520,0,74700.0
Y,2020,1,Friday,January,170.0,62.0,52.0,20,1045416,186500,0,67440.0
