YEAR,MONTH,DAY,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_BORO_NAME,SECONDS
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,N,N,Y,Y,N,N,19.0,MALE,WHITE HISPANIC,59.0,150.0,THN,BRO,BLK,1011334,257050,10468,BRONX,63240.00000000001
2020,January,Friday,Based on Radio Run,POF,1,LARCENY,13,Y,N,N,Y,N,N,N,14.0,MALE,BLACK,51.0,170.0,MED,BRO,BLK,1034897,152596,11693,QUEENS,66480.0
2020,January,Thursday,Based on Self Initiated,POM,3,Other,3,Y,N,N,N,Y,N,N,22.0,MALE,BLACK,54.0,130.0,THN,BRO,BLK,1009511,215129,11377,QUEENS,82500.0
2020,January,Friday,Based on Self Initiated,POM,5,Other,5,Y,Y,N,Y,N,Y,Y,26.0,MALE,BLACK,511.0,180.0,MED,BRO,BLK,963882,173882,10301,STATEN ISL & Other,70200.0
2020,January,Wednesday,Based on Radio Run,POM,1,ASSAULT,11,Y,N,N,Y,Y,N,N,37.0,MALE,BLACK HISPANIC,57.0,215.0,Other,BRO,Other,990741,204332,10009,MANHATTAN,11400.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,7,Y,Y,N,Y,Y,N,N,24.0,MALE,BLACK,62.0,180.0,MED,BRO,BLK,987622,203561,10003,MANHATTAN,14280.0
2020,January,Wednesday,Based on Radio Run,POM,0,Other,7,Y,Y,N,Y,Y,N,N,22.0,MALE,BLACK,57.0,130.0,THN,BRO,BLK,987622,203561,10003,MANHATTAN,14280.0
2020,January,Wednesday,Based on Radio Run,POM,1,Other,2,Y,Y,N,Y,Y,Y,Y,18.0,MALE,BLACK,63.0,180.0,THN,BRO,BLK,997261,232213,10026,MANHATTAN,3420.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,N,Y,N,N,N,0.0,MALE,WHITE HISPANIC,6.0,180.0,THN,BLK,BLK,1006209,253743,10034,MANHATTAN,78000.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,N,Y,N,N,N,20.0,MALE,WHITE HISPANIC,58.0,150.0,MED,BRO,BLK,1006209,253743,10034,MANHATTAN,78000.0
2020,January,Saturday,Based on C/W on Scene,POM,5,LARCENY,10,Y,N,N,Y,N,N,N,20.0,MALE,WHITE HISPANIC,51.0,150.0,MED,BRO,BLK,1006209,253743,10034,MANHATTAN,78000.0
2020,January,Saturday,Based on Radio Run,POM,1,BURGLARY,3,Y,Y,N,N,Y,Y,Y,53.0,MALE,WHITE HISPANIC,58.0,150.0,THN,BRO,BLK,1010994,237774,10459,BRONX,57300.0
2020,January,Saturday,Based on Radio Run,POF,1,ASSAULT,19,Y,Y,N,Y,N,N,N,73.0,MALE,BLACK HISPANIC,59.0,180.0,MED,BRO,Other,1026394,237834,10473,BRONX,66120.0
