YEAR,STOP_WAS_INITIATED,ISSUING_OFFICER_RANK,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,SUSPECT_ARRESTED_FLAG,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,FRISKED_FLAG,SEARCHED_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_BORO_NAME,SECONDS
2019,Based on Radio Run,POM,12.0,LARCENY,12.0,Y,Y,N,N,N,Y,N,Y,Y,Y,17,MALE,BLACK,6,150,THN,BLK,BLK,986263.0,205315.0,MANHATTAN,56880.0
2019,Based on Radio Run,POM,5.0,LARCENY,15.0,Y,Y,N,N,N,Y,N,Y,Y,Y,15,MALE,WHITE,5.5,150,THN,BLK,BLK,985712.0,205850.0,MANHATTAN,56880.0
2019,Based on Radio Run,POM,5.0,LARCENY,15.0,Y,Y,N,N,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.6,125,THN,BLK,BLK,985712.0,205850.0,MANHATTAN,56880.0
2019,Based on Radio Run,POM,5.0,LARCENY,15.0,Y,Y,N,N,N,Y,N,Y,Y,Y,14,MALE,BLACK,6.1,120,THN,BLK,BLK,985712.0,205850.0,MANHATTAN,56880.0
2019,Based on Radio Run,POM,3.0,LARCENY,5.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,43,MALE,BLACK,6,200,MED,BRO,BLK,986247.0,206664.0,MANHATTAN,10680.0
2019,Based on C/W on Scene,POM,1.0,ROBBERY,5.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,54,MALE,BLACK,5.3,240,Other,BRO,BLK,983985.0,205857.0,MANHATTAN,60240.00000000001
2019,Based on Radio Run,POM,1.0,Other,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,38,MALE,WHITE,6,160,THN,Other,BLK,982572.0,208887.0,MANHATTAN,37980.0
2019,Based on Radio Run,POM,2.0,ASSAULT,5.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,37,FEMALE,BLACK,5.6,160,MED,BRO,BLK,982464.0,206233.0,MANHATTAN,14160.0
2019,Based on Radio Run,POM,1.0,ROBBERY,20.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,29,MALE,BLACK,6.3,215,Other,BRO,BLK,985751.0,206938.0,MANHATTAN,84600.0
2019,Based on Radio Run,POM,1.0,LARCENY,3.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,30,MALE,BLACK,6.1,175,THN,BRO,BLK,984373.0,206551.0,MANHATTAN,38100.0
2019,Based on Radio Run,POM,1.0,Other,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,40,MALE,BLACK,6.2,190,Other,BRO,BLK,984710.0,207815.0,MANHATTAN,48900.0
2019,Based on Radio Run,POM,1.0,ROBBERY,9.0,Y,Y,N,N,Y,Y,Y,Y,Y,Y,40,MALE,BLACK,6.1,190,MED,BRO,Other,984343.0,206227.0,MANHATTAN,61440.00000000001
2019,Based on Radio Run,POF,1.0,ROBBERY,45.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,29,MALE,BLACK,6.2,200,MED,BRO,BLK,984267.0,206370.0,MANHATTAN,60540.00000000001
2019,Based on Radio Run,POF,1.0,ROBBERY,45.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,31,MALE,BLACK,5.8,135,MED,BRO,Other,984267.0,206370.0,MANHATTAN,60540.00000000001
2019,Based on Radio Run,POM,1.0,ASSAULT,1.0,Y,N,N,Y,N,Y,N,Y,Y,Y,17,MALE,BLACK,5.7,130,THN,BRO,BLK,982951.0,205352.0,MANHATTAN,58080.0
2019,Based on Radio Run,POM,1.0,ASSAULT,12.0,Y,N,N,Y,Y,Y,N,Y,Y,Y,16,MALE,BLACK,5.8,150,THN,BRO,BLK,982790.0,204818.0,MANHATTAN,57900.0
2019,Based on C/W on Scene,POM,1.0,Other,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,33,MALE,BLACK HISPANIC,5.9,150,THN,BRO,BLK,982083.0,207266.0,MANHATTAN,34800.0
2019,Based on Radio Run,POM,1.0,ROBBERY,15.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,16,FEMALE,BLACK,5.1,115,THN,BRO,BLK,983180.0,208125.0,MANHATTAN,76200.0
2019,Based on Radio Run,POM,1.0,ROBBERY,15.0,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,17,FEMALE,BLACK,5.1,120,THN,BRO,BLK,983180.0,208125.0,MANHATTAN,76200.0
2019,Based on Radio Run,POM,1.0,LARCENY,14.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,17,MALE,BLACK,6,145,THN,BRO,BLK,983044.0,205557.0,MANHATTAN,62640.00000000001
2019,Based on Radio Run,POF,1.0,LARCENY,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.6,126,THN,BLK,BLK,984347.0,207719.0,MANHATTAN,62700.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.6,130,THN,BRO,BLK,984513.0,207621.0,MANHATTAN,62700.00000000001
2019,Based on Radio Run,POF,1.0,LARCENY,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,16,MALE,WHITE HISPANIC,5.8,150,MED,BRO,Other,984347.0,207719.0,MANHATTAN,62700.00000000001
2019,Based on Radio Run,POF,1.0,LARCENY,22.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,16,MALE,BLACK,5.11,130,THN,BRO,BLK,984513.0,207621.0,MANHATTAN,62700.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,25.0,Y,Y,N,Y,N,Y,Y,(,Y,Y,16,MALE,BLACK,5.8,130,THN,BRO,BLK,984738.0,207496.0,MANHATTAN,62700.00000000001
2019,Based on Radio Run,POM,10.0,Other,10.0,Y,Y,N,N,Y,Y,Y,Y,Y,Y,23,MALE,BLACK,5.11,180,THN,BRO,BLK,986911.0,198904.0,MANHATTAN,75480.0
2019,Based on Self Initiated,POM,15.0,BURGLARY,3.0,Y,Y,N,N,Y,Y,N,Y,Y,Y,34,MALE,BLACK,6,175,THN,BLK,BLK,988377.0,199329.0,MANHATTAN,1200.0
2019,Based on Radio Run,POM,1.0,ROBBERY,6.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,14,MALE,BLACK,5.6,110,THN,BLK,BLK,987877.0,201319.0,MANHATTAN,57300.0
2019,Based on Radio Run,POM,1.0,Other,15.0,Y,Y,N,N,Y,Y,N,Y,Y,Y,21,MALE,WHITE HISPANIC,6,160,MED,BRO,Other,988784.0,201585.0,MANHATTAN,12000.0
2019,Based on Self Initiated,POF,1.0,BURGLARY,6.0,Y,Y,N,N,Y,Y,Y,Y,Y,Y,30,FEMALE,BLACK HISPANIC,4.1,120,THN,BRO,Other,987736.0,200969.0,MANHATTAN,6000.0
2019,Based on Radio Run,POM,1.0,Other,15.0,Y,Y,N,N,Y,Y,N,Y,Y,Y,28,MALE,WHITE HISPANIC,5.1,150,MED,BRO,Other,988784.0,201585.0,MANHATTAN,12000.0
2019,Based on Radio Run,POM,1.0,Other,15.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,34,MALE,WHITE HISPANIC,5.1,250,MED,BRO,Other,988784.0,201585.0,MANHATTAN,12000.0
2019,Based on C/W on Scene,POM,5.0,BURGLARY,15.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,39,MALE,BLACK,5.9,225,Other,BRO,BLK,987136.0,201373.0,MANHATTAN,31440.000000000004
2019,Based on Radio Run,POM,1.0,LARCENY,10.0,Y,Y,N,Y,Y,Y,N,(,Y,Y,17,MALE,WHITE HISPANIC,5.9,150,THN,BRO,Other,988917.0,200245.0,MANHATTAN,61800.00000000001
2019,Based on Radio Run,POM,1.0,LARCENY,10.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,17,MALE,BLACK,5.9,150,THN,BRO,Other,988917.0,200245.0,MANHATTAN,61800.00000000001
2019,Based on Radio Run,POM,15.0,BURGLARY,15.0,Y,Y,N,Y,N,Y,N,Y,Y,Y,23,FEMALE,WHITE HISPANIC,5.5,120,THN,BLK,BLN,987348.0,201902.0,MANHATTAN,74700.0
2019,Based on Self Initiated,POM,1.0,LARCENY,15.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,14,MALE,WHITE HISPANIC,5.3,160,Other,BLK,BLK,989107.0,200970.0,MANHATTAN,43500.0
2019,Based on Radio Run,POF,1.0,LARCENY,10.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,16,MALE,BLACK HISPANIC,6.1,190,MED,BLK,BLK,989186.0,201182.0,MANHATTAN,40800.0
2019,Based on Radio Run,POM,1.0,Other,20.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,24,MALE,BLACK,5.1,160,MED,BRO,BLK,987236.0,198938.0,MANHATTAN,84840.0
2019,Based on Radio Run,POM,1.0,Other,10.0,Y,N,Y,Y,Y,Y,N,Y,Y,Y,20,MALE,BLACK,6,150,MED,BRO,BLK,987236.0,198938.0,MANHATTAN,84780.0
2019,Based on Radio Run,POM,1.0,Other,10.0,Y,Y,N,N,Y,Y,Y,Y,Y,Y,34,MALE,BLACK,5.6,150,THN,BRO,BLK,989020.0,200758.0,MANHATTAN,84600.0
2019,Based on Self Initiated,POM,2.0,Other,5.0,Y,Y,N,N,Y,Y,Y,Y,Y,Y,15,MALE,BLACK,5.6,140,THN,BRO,BLK,989641.0,198313.0,MANHATTAN,62820.00000000001
2019,Based on C/W on Scene,POM,1.0,ASSAULT,1.0,Y,Y,N,N,Y,Y,N,Y,Y,Y,15,MALE,WHITE HISPANIC,6,200,MED,BRO,BLK,989160.0,200491.0,MANHATTAN,57840.0
2019,Based on Radio Run,POM,1.0,ASSAULT,34.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,41,MALE,BLACK,5.9,140,THN,BRO,BLK,988538.0,199354.0,MANHATTAN,900.0
2019,Based on Radio Run,POM,1.0,Other,3.0,Y,Y,N,Y,N,Y,Y,Y,Y,Y,21,MALE,BLACK,6,155,THN,BLK,BLK,989952.0,200178.0,MANHATTAN,75900.0
2019,Based on Self Initiated,POM,3.0,Other,10.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,45,MALE,WHITE HISPANIC,5.6,185,Other,BRO,Other,987066.0,198658.0,MANHATTAN,64200.00000000001
2019,Based on Radio Run,POM,1.0,ASSAULT,5.0,Y,Y,N,Y,Y,Y,N,Y,Y,Y,32,MALE,BLACK HISPANIC,5.11,160,THN,BRO,BLK,987742.0,198489.0,MANHATTAN,81300.0
